CVE,severity,package,installed_version,fixed_version,target,title,description,references,cvss_score,cvss_severity,cvss_vector,cvss_version,description_nvd,cwe,published_date,last_modified_date,reference_urls,epss_score,is_kev,fips_impact,priority_score,priority_level,justification,recommendation
CVE-2022-41725,HIGH,stdlib,v1.20,"1.19.6, 1.20.1",registry.k8s.io/coredns/coredns:v1.10.1,"golang: net/http, mime/multipart: denial of service from excessive resource consumption",,[],7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.x,"A denial of service is possible from excessive resource consumption in net/http and mime/multipart. Multipart form parsing with mime/multipart.Reader.ReadForm can consume largely unlimited amounts of memory and disk files. This also affects form parsing in the net/http package with the Request methods FormFile, FormValue, ParseMultipartForm, and PostFormValue. ReadForm takes a maxMemory parameter, and is documented as storing ""up to maxMemory bytes +10MB (reserved for non-file parts) in memory"". File parts which cannot be stored in memory are stored on disk in temporary files. The unconfigurable 10MB reserved for non-file parts is excessively large and can potentially open a denial of service vector on its own. However, ReadForm did not properly account for all memory consumed by a parsed form, such as map entry overhead, part names, and MIME headers, permitting a maliciously crafted form to consume well over 10MB. In addition, ReadForm contained no limit on the number of disk files created, permitting a relatively small request body to create a large number of disk temporary files. With fix, ReadForm now properly accounts for various forms of memory overhead, and should now stay within its documented limit of 10MB + maxMemory bytes of memory consumption. Users should still be aware that this limit is high and may still be hazardous. In addition, ReadForm now creates at most one on-disk temporary file, combining multiple form parts into a single temporary file. The mime/multipart.File interface type's documentation states, ""If stored on disk, the File's underlying concrete type will be an *os.File."". This is no longer the case when a form contains more than one file part, due to this coalescing of parts into a single file. The previous behavior of using distinct files for each form part may be reenabled with the environment variable GODEBUG=multipartfiles=distinct. Users should be aware that multipart.ReadForm and the http.Request methods that call it do not limit the amount of disk consumed by temporary files. Callers can limit the size of form data with http.MaxBytesReader.",CWE-770,2023-02-28T18:15:10.120,2024-11-21T07:23:44.733,"https://go.dev/cl/468124, https://go.dev/issue/58006, https://groups.google.com/g/golang-announce/c/V0aBFqaFs_E, https://pkg.go.dev/vuln/GO-2023-1569, https://security.gentoo.org/glsa/202311-09",0.0,False,MODERATE,77.5,P2,Risque modéré selon métriques disponibles,Corriger rapidement (7-15 jours)
CVE-2023-24534,HIGH,stdlib,v1.20,"1.19.8, 1.20.3",registry.k8s.io/coredns/coredns:v1.10.1,"golang: net/http, net/textproto: denial of service from excessive memory allocation",,[],7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.x,"HTTP and MIME header parsing can allocate large amounts of memory, even when parsing small inputs, potentially leading to a denial of service. Certain unusual patterns of input data can cause the common function used to parse HTTP and MIME headers to allocate substantially more memory than required to hold the parsed headers. An attacker can exploit this behavior to cause an HTTP server to allocate large amounts of memory from a small request, potentially leading to memory exhaustion and a denial of service. With fix, header parsing now correctly allocates only the memory required to hold parsed headers.","CWE-400, CWE-400",2023-04-06T16:15:07.657,2025-02-12T18:15:19.837,"https://go.dev/cl/481994, https://go.dev/issue/58975, https://groups.google.com/g/golang-announce/c/Xdv6JL9ENs8, https://pkg.go.dev/vuln/GO-2023-1704, https://security.gentoo.org/glsa/202311-09",0.0,False,MODERATE,77.5,P2,Risque modéré selon métriques disponibles,Corriger rapidement (7-15 jours)
CVE-2022-41722,HIGH,stdlib,v1.20,"1.19.6, 1.20.1",registry.k8s.io/coredns/coredns:v1.10.1,golang: path/filepath: path-filepath filepath.Clean path traversal,,[],7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,3.x,"A path traversal vulnerability exists in filepath.Clean on Windows. On Windows, the filepath.Clean function could transform an invalid path such as ""a/../c:/b"" into the valid path ""c:\b"". This transformation of a relative (if invalid) path into an absolute path could enable a directory traversal attack. After fix, the filepath.Clean function transforms this path into the relative (but still invalid) path "".\c:\b"".",CWE-22,2023-02-28T18:15:09.887,2024-11-21T07:23:44.303,"https://go.dev/cl/468123, https://go.dev/issue/57274, https://groups.google.com/g/golang-announce/c/V0aBFqaFs_E, https://pkg.go.dev/vuln/GO-2023-1568, https://go.dev/cl/468123",0.0,False,MODERATE,77.5,P2,Risque modéré selon métriques disponibles,Corriger rapidement (7-15 jours)
CVE-2023-24536,HIGH,stdlib,v1.20,"1.19.8, 1.20.3",registry.k8s.io/coredns/coredns:v1.10.1,"golang: net/http, net/textproto, mime/multipart: denial of service from excessive resource consumption",,[],7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.x,"Multipart form parsing can consume large amounts of CPU and memory when processing form inputs containing very large numbers of parts. This stems from several causes: 1. mime/multipart.Reader.ReadForm limits the total memory a parsed multipart form can consume. ReadForm can undercount the amount of memory consumed, leading it to accept larger inputs than intended. 2. Limiting total memory does not account for increased pressure on the garbage collector from large numbers of small allocations in forms with many parts. 3. ReadForm can allocate a large number of short-lived buffers, further increasing pressure on the garbage collector. The combination of these factors can permit an attacker to cause an program that parses multipart forms to consume large amounts of CPU and memory, potentially resulting in a denial of service. This affects programs that use mime/multipart.Reader.ReadForm, as well as form parsing in the net/http package with the Request methods FormFile, FormValue, ParseMultipartForm, and PostFormValue. With fix, ReadForm now does a better job of estimating the memory consumption of parsed forms, and performs many fewer short-lived allocations. In addition, the fixed mime/multipart.Reader imposes the following limits on the size of parsed forms: 1. Forms parsed with ReadForm may contain no more than 1000 parts. This limit may be adjusted with the environment variable GODEBUG=multipartmaxparts=. 2. Form parts parsed with NextPart and NextRawPart may contain no more than 10,000 header fields. In addition, forms parsed with ReadForm may contain no more than 10,000 header fields across all parts. This limit may be adjusted with the environment variable GODEBUG=multipartmaxheaders=.","CWE-770, CWE-770",2023-04-06T16:15:07.710,2025-02-12T18:15:20.083,"https://go.dev/cl/482075, https://go.dev/cl/482076, https://go.dev/cl/482077, https://go.dev/issue/59153, https://groups.google.com/g/golang-announce/c/Xdv6JL9ENs8",0.0,False,MODERATE,77.5,P2,Risque modéré selon métriques disponibles,Corriger rapidement (7-15 jours)
CVE-2023-24537,HIGH,stdlib,v1.20,"1.19.8, 1.20.3",registry.k8s.io/coredns/coredns:v1.10.1,golang: go/parser: Infinite loop in parsing,,[],7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.x,Calling any of the Parse functions on Go source code which contains //line directives with very large line numbers can cause an infinite loop due to integer overflow.,"CWE-190, CWE-190",2023-04-06T16:15:07.753,2025-02-12T17:15:13.973,"https://go.dev/cl/482078, https://go.dev/issue/59180, https://groups.google.com/g/golang-announce/c/Xdv6JL9ENs8, https://pkg.go.dev/vuln/GO-2023-1702, https://security.gentoo.org/glsa/202311-09",0.0,False,MODERATE,77.5,P2,Risque modéré selon métriques disponibles,Corriger rapidement (7-15 jours)
CVE-2023-45288,HIGH,stdlib,v1.20,"1.21.9, 1.22.2",registry.k8s.io/coredns/coredns:v1.10.1,"golang: net/http, x/net/http2: unlimited number of CONTINUATION frames causes DoS",,[],7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.x,"An attacker may cause an HTTP/2 endpoint to read arbitrary amounts of header data by sending an excessive number of CONTINUATION frames. Maintaining HPACK state requires parsing and processing all HEADERS and CONTINUATION frames on a connection. When a request's headers exceed MaxHeaderBytes, no memory is allocated to store the excess headers, but they are still parsed. This permits an attacker to cause an HTTP/2 endpoint to read arbitrary amounts of header data, all associated with a request which is going to be rejected. These headers can include Huffman-encoded data which is significantly more expensive for the receiver to decode than for an attacker to send. The fix sets a limit on the amount of excess header frames we will process before closing a connection.",,2024-04-04T21:15:16.113,2025-11-04T19:16:01.263,"http://www.openwall.com/lists/oss-security/2024/04/03/16, http://www.openwall.com/lists/oss-security/2024/04/05/4, https://go.dev/cl/576155, https://go.dev/issue/65051, https://groups.google.com/g/golang-announce/c/YgW0sx8mN3M",0.0,False,MODERATE,77.5,P2,Risque modéré selon métriques disponibles,Corriger rapidement (7-15 jours)
CVE-2023-45283,HIGH,stdlib,v1.20,"1.20.11, 1.21.4, 1.20.12, 1.21.5",registry.k8s.io/coredns/coredns:v1.10.1,The filepath package does not recognize paths with a \??\ prefix as sp ...,,[],7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,3.x,"The filepath package does not recognize paths with a \??\ prefix as special. On Windows, a path beginning with \??\ is a Root Local Device path equivalent to a path beginning with \\?\. Paths with a \??\ prefix may be used to access arbitrary locations on the system. For example, the path \??\c:\x is equivalent to the more common path c:\x. Before fix, Clean could convert a rooted path such as \a\..\??\b into the root local device path \??\b. Clean will now convert this to .\??\b. Similarly, Join(\, ??, b) could convert a seemingly innocent sequence of path elements into the root local device path \??\b. Join will now convert this to \.\??\b. In addition, with fix, IsAbs now correctly reports paths beginning with \??\ as absolute, and VolumeName correctly reports the \??\ prefix as a volume name. UPDATE: Go 1.20.11 and Go 1.21.4 inadvertently changed the definition of the volume name in Windows paths starting with \?, resulting in filepath.Clean(\?\c:) returning \?\c: rather than \?\c:\ (among other effects). The previous behavior has been restored.",CWE-22,2023-11-09T17:15:08.757,2024-11-21T08:26:41.567,"http://www.openwall.com/lists/oss-security/2023/12/05/2, https://go.dev/cl/540277, https://go.dev/cl/541175, https://go.dev/issue/63713, https://go.dev/issue/64028",0.0,False,MODERATE,77.5,P2,Risque modéré selon métriques disponibles,Corriger rapidement (7-15 jours)
CVE-2024-34156,HIGH,stdlib,v1.20,"1.22.7, 1.23.1",registry.k8s.io/coredns/coredns:v1.10.1,encoding/gob: golang: Calling Decoder.Decode on a message which contains deeply nested structures can cause a panic due to stack exhaustion,,[],7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.x,Calling Decoder.Decode on a message which contains deeply nested structures can cause a panic due to stack exhaustion. This is a follow-up to CVE-2022-30635.,,2024-09-06T21:15:12.020,2024-11-21T09:18:12.853,"https://go.dev/cl/611239, https://go.dev/issue/69139, https://groups.google.com/g/golang-dev/c/S9POB9NCTdk, https://pkg.go.dev/vuln/GO-2024-3106, https://security.netapp.com/advisory/ntap-20240926-0004/",0.0,False,MODERATE,77.5,P2,Risque modéré selon métriques disponibles,Corriger rapidement (7-15 jours)
CVE-2023-24539,HIGH,stdlib,v1.20,"1.19.9, 1.20.4",registry.k8s.io/coredns/coredns:v1.10.1,golang: html/template: improper sanitization of CSS values,,[],7.3,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:L,3.x,"Angle brackets (<>) are not considered dangerous characters when inserted into CSS contexts. Templates containing multiple actions separated by a '/' character can result in unexpectedly closing the CSS context and allowing for injection of unexpected HTML, if executed with untrusted input.","CWE-74, CWE-94",2023-05-11T16:15:09.600,2025-01-24T17:15:10.670,"https://go.dev/cl/491615, https://go.dev/issue/59720, https://groups.google.com/g/golang-announce/c/MEb0UyuSMsU, https://pkg.go.dev/vuln/GO-2023-1751, https://go.dev/cl/491615",0.0,False,MODERATE,76.5,P2,Risque modéré selon métriques disponibles,Corriger rapidement (7-15 jours)
CVE-2023-29400,HIGH,stdlib,v1.20,"1.19.9, 1.20.4",registry.k8s.io/coredns/coredns:v1.10.1,golang: html/template: improper handling of empty HTML attributes,,[],7.3,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:L,3.x,"Templates containing actions in unquoted HTML attributes (e.g. ""attr={{.}}"") executed with empty input can result in output with unexpected results when parsed due to HTML normalization rules. This may allow injection of arbitrary attributes into tags.","CWE-74, CWE-94",2023-05-11T16:15:09.850,2025-01-24T17:15:12.747,"https://go.dev/cl/491617, https://go.dev/issue/59722, https://groups.google.com/g/golang-announce/c/MEb0UyuSMsU, https://pkg.go.dev/vuln/GO-2023-1753, https://go.dev/cl/491617",0.0,False,MODERATE,76.5,P2,Risque modéré selon métriques disponibles,Corriger rapidement (7-15 jours)
CVE-2025-47907,HIGH,stdlib,v1.20,"1.23.12, 1.24.6",registry.k8s.io/coredns/coredns:v1.10.1,database/sql: Postgres Scan Race Condition,,[],7.0,HIGH,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:L/A:L,3.x,"Cancelling a query (e.g. by cancelling the context passed to one of the query methods) during a call to the Scan method of the returned Rows can result in unexpected results if other queries are being made in parallel. This can result in a race condition that may overwrite the expected results with those of another query, causing the call to Scan to return either unexpected results from the other query or an error.",,2025-08-07T16:15:30.357,2025-11-04T22:16:16.347,"https://go.dev/cl/693735, https://go.dev/issue/74831, https://groups.google.com/g/golang-announce/c/x5MKroML2yM, https://pkg.go.dev/vuln/GO-2025-3849, http://www.openwall.com/lists/oss-security/2025/08/06/1",0.0,False,MODERATE,75.0,P2,Risque modéré selon métriques disponibles,Corriger rapidement (7-15 jours)


# LEGEND
# LÉGENDE — Interprétation des colonnes et scores
# 
# CVE : Identifiant unique de la vulnérabilité (Common Vulnerabilities and Exposures).
# Package : Composant logiciel affecté.
# CVSS Score : Score d'impact (0–10). Interprétation : 0-3.9 Low, 4-6.9 Medium, 7-8.9 High, 9-10 Critical.
# CVSS Vector : Chaîne de vecteur CVSS (AV, AC, PR, UI, S, C, I, A).
# EPSS Score : Probabilité d'exploitation dans les 30 prochains jours (0–1).
# KEV (is_kev) : Indique si la vulnérabilité figure dans la liste CISA Known Exploited Vulnerabilities (True = exploitée).
# FIPS Impact (fips_impact) : Criticité de l'actif selon FIPS 199 (LOW / MODERATE / HIGH).
# Priority Score : Score combiné = CVSS*5 + EPSS*100 + KEV*80 + FIPS*20 (plus élevé = plus urgent).
# Priority Level : P1 (>=80), P2 (50–79), P3 (<50).
# Justification : Résumé automatique expliquant les drivers de la priorité (KEV, EPSS, CVSS, FIPS).
# Recommendation : Action recommandée selon le niveau (P1: corriger immédiatement, P2: corriger rapidement, P3: planifier).
# 
# Remarque : Les multiplicateurs et seuils sont des choix pédagogiques alignés sur le cours Module 3.
